pursue after,pursue
former graduate,graduate
positive identification,identification
autobiography of his or her own life,autobiography
enter in,enter
end result,result
cameo appearance,cameo
bald-headed,bald
HIV virus,HIV
round in shape,round
three a.m. in the morning,three a.m.
later time,later
each and every,each
had done previously,had done
empty out,empty
boat marina,marina
brief moment,moment
serious danger,danger
universal panacea,panacea
scrutinize in detail,scrutinize
raise up,raise
harmful injuries,injuries
free gift,gift
major breakthrough,breakthrough
head honcho,honcho
desirable benefits,benefits
eradicate completely,eradicate
pouring down rain,pouring  rain
attach together,attach
pick and choose,pick
regular routine,routine
ATM machine,ATM
twelve noon or midnight,noon or midnight
local residents,residents
UPC code,UPC
lift up,lift
old cliche,cliche
armed gunman,gunman
tiny bit,bit
usual custom,custom
rise up,rise
little baby,baby
different kinds,kinds
surrounded on all sides,surrounded
tall in stature,tall
connect together,connect
closed fist,fist
collaborate together,collaborate
output out of,output
anonymous stranger,stranger
component parts,parts
extradite back,extradite
fly through the air,fly
new recruit,recruit
face mask,mask
PIN number,PIN
Please RSVP,RSVP
recur again,recur
very unique,unique
ultimate goal,goal
eliminate altogether,eliminate
truly sincere,sincere
meet together,meet
completely eliminate,eliminate
descend down,descend
plan ahead,plan
mental telepathy,telepathy
could possibly,could
now pending,pending
advance planning,planning
input into,input
reason is because,reason is
originally created,created
combine together,combine
reflect back,reflect
present incumbent,incumbent
personal friend,friend
joint collaboration,collaboration
irregardless,regardless
unexpected surprise,surprise
old proverb,proverb
single unit,unit
underground subway,subway
sand dune,dune
full satisfaction,satisfaction
white snow,snow
past experience,experience
revert back,revert
affirmative yes,yes
brief summary,summary
consensus of opinion,consensus
favorable approval,approval
sum total,total
unexpected emergency,emergency
current trend,trend
add an additional,add
proposed plan,plan
never before,never
over exaggerate,exaggerate
nape of her neck,nape
three-way love triangle,love triangle
connect up,connect
live studio audience,studio audience
introduced for the first time,introduced
tuna fish,tuna
hurry up,hurry
illustrated drawing,drawing
over with,over
share together,share
preheat,heat
protest against,protest
green [or blue or whatever] in color,green [or blue or whatever]
palm of the hand,palm
personal opinion,opinion
earlier in time,earlier
integrate together,integrate
advance warning,warning
add up,add
future plans,plans
cease and desist,cease
follow after,follow
circle around,circle
major feat,feat
alternative choice,alternative
empty space,space
from whence,whence
prerecord,record
live witness,witness
oral conversation,conversation
lag behind,lag
GOP party,GOP
hollow tube,tube
blend together,blend
all-time record,record
temper tantrum,tantrum
past records,records
ascend up,ascend
retreat back,retreat
refer back,refer
vacillate back and forth,vacillate
unnamed anonymous,anonymous
first conceived,conceived
hoist up,hoist
and etc.,etc.
aid and abet,abet
first of all,first
past history,history
completely annihilate,annihilate
interdependent on each other,interdependent
confer together,confer
minestrone soup,minestrone
foreign imports,imports
spliced together,spliced
old custom,custom
time period,time
emergency situation,emergency
ISBN number,ISBN
wall mural,mural
crisis situation,crisis
close proximity,proximity
GRE exam,GRE
unintentional mistake,mistake
sharp point,point
skipped over,skipped
two equal halves,halves
cacophony of sound,cacophony
whether or not,whether
very pregnant,pregnant
balsa wood,balsa
weather conditions,weather
added bonus,bonus
circulate around,circulate
mutually interdependent,interdependent
final ultimatum,ultimatum
biography of his--or her--life,biography
advance preview,preview
nostalgia for the past,nostalgia
new innovation,innovation
start off or out,start  or
pizza pie,pizza
evolve over time,evolve
frozen ice,ice
ask the question,ask
LCD display,LCD
natural instinct,instinct
undergraduate student,undergraduate
safe sanctuary,sanctuary
final end,end
total destruction,destruction
outside in the yard,in the yard
merge together,merge
weather situation,weather
old adage,adage
ten in number,ten
burning embers,embers
preboard as an airplane,board
basic necessities,necessities
shiny in appearance,shiny
visible to the eye,visible
frozen tundra,tundra
introduced a new,introduced
completely filled,filled
mutual respect for each other,mutual respect
incredible to believe,incredible
integrate with each other,integrate
basic fundamentals,fundamentals
polar opposites,opposites
future recurrence,recurrence
plan in advance,plan
warn in advance,warn
former veteran,veteran
fuse together,fuse
still persists,persists
confused state,confused
advance reservations,reservations
open up,open
private industry,industry
equal to one another,equal
cancel out,cancel
tall in height,tall
entirely eliminate,eliminate
off of,off
careful scrutiny,scrutiny
postpone until later,postpone
current incumbent,incumbent
absolutely essential,essential
veiled ambush,ambush
depreciate in value,depreciate
disappear from sight,disappear
none at all,none
number-one leader in,leader in
empty hole,hole
exposed opening,opening
repeat again,repeat
first and foremost,foremost
write down,write
same exact,same
advance forward,advance
artificial prosthesis,prosthesis
indicted on a charge,indicted
made out of,made  of
gather together,gather
separated apart from each other,separated
new invention,invention
brief in duration,brief
may possibly,may
present time,present
full to capacity,full
assemble together,assemble
completely engulfed,engulfed
absolutely necessary,necessary
spell out in detail,spell out
heat up,heat
final conclusion,conclusion
meet with each other,meet
curative process,curative
RAM memory,RAM
cooperate together,cooperate
reply back,reply
knowledgeable experts,experts
classify into groups,classify
general public,public
passing fad,fad
fellow colleague,colleague
pair of twins,twins
slow speed,slow
actual facts,facts
estimated at about,estimated at
true facts,facts
period of time,period
compete with each other,compete
safe haven,haven
reason why,reason
drop down,drop
overused cliche,cliche
final outcome,outcome
sudden impulse,impulse
cash money,cash
kneel down,kneel
grow in size,grow
still remains,remains
past memories,memories
look ahead to the future,look  to the future
best ever,best
might possibly,might
exact same,same
previously listed above,previously listed
new beginning,beginning
filled to capacity,filled
look back in retrospect,look back
mutual cooperation,cooperation
fall down,fall
constantly maintained,maintained
manually by hand,manually
new construction,construction
few in number,few
proceed ahead,proceed
annual anniversary,anniversary
soft in texture [or to the touch],soft  [or ]
completely destroyed,destroyed
sole of the foot,sole
enclosed herein,enclosed
during the course of,during
commute back and forth,commute
outside of,outside
join together,join
dwindle down,dwindle
small speck,speck
A.M. in the morning,A.M.
penetrate into,penetrate
shut down,shut
mix together,mix
open trench,trench
native habitat,habitat
re-elect for another term,re-elect
fellow classmates,classmates
bouquet of flowers,bouquet
completely surround,surround
small size,small
plunge down,plunge
